schedule	None	tomorrow	明日は何か予定ある？
weather	working_place	next_week	職場の来週は雪降らないかな？
other	None	None	海に潜りたいです。
weather	here	absolute	1日のこのあたりの天気はどんなになってる？
other	None	None	海外はまだだめですか
other	None	None	悲しいことがあったんですか？
weather	geographical_names	this_morning	墨田区の今朝は雨降る？
weather	geographical_names	next_year	富谷市の来年は雨降らない？
weather	station	absolute	1981年7月の風祭の天気はどんな？
weather	working_place	next_week	来週の職場の天気は晴れない？
weather	geographical_names	absolute	1992年11月の滋賀県の風はどう？
other	None	None	おおう！
other	None	None	心霊映像なども怖いです
weather	geographical_names	absolute	大和高田市の12月の風は強いかな？
weather	station	absolute	千葉中央の1976年は雪かな？
weather	geographical_names	next_week	来週の信濃町は寒さは？
other	None	None	心かなぁ？
weather	here	daytime	この辺の昼の天気はどう？
other	None	None	好きな言い回しとかある？
weather	None	absolute	そういえば、1月の天気はわかりますか？
weather	None	next_week	来週は晴れると思う？
weather	station	absolute	1999年7月30日の白山は晴れると思う？
other	None	None	カラオケに行ったら、サザンの曲を歌います。
weather	geographical_names	tomorrow	志賀町の明日の天気を教えてほしい
weather	here	daytime	昼のこのあたりは雨降るかな？
other	None	None	口調がかわる人ですね？
weather	here	this_morning	今朝のここの天気はどうですか
weather	here	tomorrow	ここの明日の風は弱かったり？
weather	station	daytime	七里の昼は曇るかな？
weather	school	daytime	学校の昼の天気は降らない？
schedule	None	absolute	ちなみに1988年11月はお仕事ですか？
weather	station	absolute	2012年9月の千城台の天気は雪？
schedule	None	this_morning	今朝は暇？
other	None	None	今日もピンク色の服なの？
weather	geographical_names	next_year	来年の陸前高田市は雪降らないかな？
weather	geographical_names	this_morning	伊万里市の今朝の天気はどうだろう？
weather	station	absolute	1989年6月の伊野は暑いですか？
weather	geographical_names	absolute	11月9日の小値賀町の天気は何かな？
weather	working_place	daytime	昼の職場は晴れる？
weather	here	tomorrow	明日のこの辺は曇り？
weather	here	next_week	来週のここは晴れないと思う？
schedule	None	next_week	来週の予定
schedule	here	None	この辺で何か予定ある？
weather	school	next_month	来月の学校の天気は曇る？
weather	working_place	today	職場の今日は雪降らない？
weather	station	day_after_next	明後日の陸奥岩崎の風は強かったり？
weather	station	None	品井沼の風は強いかな？
other	None	None	どこによく買い物に行くのですか？
other	None	None	鬼嫁ですか
schedule	station	None	内子で何か予定ある？
weather	geographical_names	day_after_next	明後日の日の出町は晴れたり？
weather	station	absolute	あぶくまの31日の天気は？
weather	here	absolute	4月18日のこの辺は暑さは？
weather	here	now	今のここの天気は晴れる？
weather	geographical_names	early_evening	夕方の魚沼市は暑さは？
weather	geographical_names	daytime	蟹江町の昼の風は？
weather	station	tonight	今夜の市部は雨？
weather	station	tomorrow	明日の新大津は暖かい？
weather	here	now	今のこのあたりは雨降るかな？
other	None	None	長いほうがいいですね
weather	school	tomorrow	学校の明日は涼しいかな？
schedule	None	daytime	ところで、昼はどこかへ行く予定はありますか？
weather	school	now	学校の今は雪降らないかな？
other	None	None	ところで、スイカもいいけどトマトもいいよね
weather	geographical_names	today	今日の境町は晴れないと思う？
weather	geographical_names	early_evening	夕方の羅臼町は暖かい？
weather	station	next_year	来年の木路原の天気は雪降る？
weather	None	absolute	10月の風はどう？
weather	geographical_names	absolute	東広島市の7日は寒い？
other	None	None	風邪の予防になるそうですよ
weather	geographical_names	today	増毛町の今日の天気はどう？
weather	None	today	今日の天気は曇？
weather	station	now	今の白井海岸は晴れ？
weather	here	next_month	来月のここの天気はどんなになってる？
other	None	None	どれぐらい？
weather	here	now	この辺の今は晴れるかな？
weather	station	next_month	庚申塚の来月は雪降るかな？
other	None	None	哲学的ですね
other	None	None	大人は寂しいですよ。
weather	school	next_month	学校の来月は風強いかな？
other	None	None	そうですか…　実は僕，泳げないんですよ…
schedule	None	next_week	来週は何か予定されてる？
weather	None	next_year	天気は来年雨降る？
weather	station	next_year	下野大沢の来年は暑いかな？
weather	school	tonight	学校の今夜の天気は降らない？
weather	here	absolute	このあたりの4月5日は晴れかな？
weather	here	next_week	来週のこの辺は涼しい？
weather	station	next_month	来月の七ヶ岳登山口は雪降らない？
weather	here	absolute	1984年7月24日のここは雨降るかな？
other	None	None	雨が降ると困るんですよ
weather	school	daytime	昼の学校の天気教えて
weather	station	absolute	九品寺交差点の2月の天気を教えてほしい
weather	here	tomorrow	明日のこの辺の風は？
other	None	None	死ぬよ？
weather	here	now	この辺の今は涼しいかな？
weather	geographical_names	next_month	来月の松崎町は雪？
other	None	None	唐突ですね。
weather	station	now	越中中島の今は雨降るかな？
weather	None	absolute	1997年は雪降らないかな？
other	None	None	居心地の良い人との旅は最高だね
